chr	start	end	common_name	sys_name	fpkm_1	fpkm_2
chrXIV	440796	440806	YNL097C-B	YNL097C-B	16.60082299	10.09311358
chrIX	398715	398726	YIR021W-A	YIR021W-A	0	0.726037652
chrII	89457	89478	YBL071C-B	YBL071C-B	12.91645667	3.141224125
chrV	449538	449578	YER138W-A	YER138W-A	63.29063766	42.91999502
chrX	717579	717630	YJR151W-A	YJR151W-A	0	0
chrXV	882778	882842	YOR302W	YOR302W	0	0
chrIV	520515	520582	YDR034C-A	YDR034C-A	1.438423583	0.874545353
chrXI	135789	135859	YKL165C-A	YKL165C-A	2.173069104	5.284806254
chrX	158121	158194	YJL135W	YJL135W	0	0.971103988
chrXV	301164	301238	YOL013W-A	YOL013W-A	60.9710855	38.68146148
chrII	606202	606277	YBR190W	YBR190W	1.628054988	0.989839113
chrVI	75112	75192	YFL032W	YFL032W	44.30344637	34.63199598
chrXV	780104	780184	IRC13	YOR235W	97.55626952	97.54801416
chrI	192336	192417	YAR035C-A	YAR035C-A	0	0
chrXIII	298136	298219	SNR74	snR74	0	0
chrII	144947	145031	YBL039C-A	YBL039C-A	0	0
chrX	156168	156252	YJL136W-A	YJL136W-A	3.050151213	1.854457616
chrVIII	74698	74782	YHL015W-A	YHL015W-A	3.050151213	0
chrIII	30909	30996	RDT1	YCL054W-A	NA	NA
chrVI	169223	169310	YFR012W-A	YFR012W-A	0	0
chrX	294798	294885	YJL077W-A	YJL077W-A	24.04710244	11.3713971
chrVII	846654	846741	YGR174W-A	YGR174W-A	2.465869	1.998960807
chrXIII	625810	625897	YMR182W-A	YMR182W-A	10.14905548	9.255767301
chrXII	440369	440456	YLR149C-A	YLR149C-A	0	1.789767234
chrVII	532853	532941	YGR025W	YGR025W	0	0
chrIV	1151095	1151183	YDR340W	YDR340W	0.838286592	0.509668815
chrIV	1489402	1489492	YDR524W-C	YDR524W-C	0	0
chrVIII	411227	411317	SNR71	snR71	21706.55533	17116.2479
chrXIII	754296	754386	YMR242W-A	YMR242W-A	0	0
chrV	338321	338411	YER090C-A	YER090C-A	0	1.729438002
chrII	497649	497739	YBR131C-A	YBR131C-A	0	0
chrV	61698	61789	SNR53	snR53	9850.836138	7123.074729
chrXIV	781510	781603	YNR075C-A	YNR075C-A	0	0
chrXII	727910	728003	YLR299C-A	YLR299C-A	0	3.346086568
chrXI	283184	283279	SNR38	snR38	17877.58523	13174.89549
chrVI	223709	223806	YFR032C-B	YFR032C-B	4.812976248	1.170494161
chrX	294046	294145	YJL077W-B	YJL077W-B	9.459810612	7.942490182
chrXVI	264601	264700	YPL152W-A	YPL152W-A	0	0.667765649
chrVIII	209544	209645	YHR050W-A	YHR050W-A	0	0
chrVI	76013	76115	YFL031C-A	YFL031C-A	0	1.523960219
chrXVI	860313	860415	YPR159C-A	YPR159C-A	0	0
chrII	666537	666642	YBR221W-A	YBR221W-A	0	0
chrVIII	466957	467062	YHR180C-B	YHR180C-B	0	0
chrIV	1219508	1219613	YDR371C-A	YDR371C-A	0	0
chrII	614525	614630	YBR196C-B	YBR196C-B	12.17127647	5.919999313
chrXIII	904285	904393	YMR315W-A	YMR315W-A	2.366005146	1.438504506
chrXIII	811088	811196	YMR272W-B	YMR272W-B	0	0
chrIV	945330	945438	BUD26	YDR241W	19.40618855	6.435678696
chrVII	485422	485533	YGL006W-A	YGL006W-A	0	0
chrVII	909060	909174	YGR204C-A	YGR204C-A	0	5.448494943
chrXI	158974	159091	YKL156C-A	YKL156C-A	0	0
chrXII	673827	673944	YLR264C-A	YLR264C-A	0	1.326896398
chrIV	1469694	1469811	YDR510C-A	YDR510C-A	2.182435782	1.326896398
chrXII	1071593	1071710	YLR466C-B	YLR466C-B	2.182435782	0
chrX	337883	338003	YJL052C-A	YJL052C-A	0	1.293445228
chrII	28426	28546	YBL100W-C	YBL100W-C	0	0.490191026
chrVIII	175274	175394	YHR032C-A	YHR032C-A	2.127416392	0
chrII	800122	800242	YBR296C-A	YBR296C-A	0	0
chrXII	855522	855645	YLR364C-A	YLR364C-A	0	1.261639198
chrIV	454781	454904	YDR003W-A	YDR003W-A	0	0
chrII	7604	7733	PAU9	YBL108C-A	0	0
chrIV	172181	172313	YDL159W-A	YDL159W-A	0	0
chrXII	472478	472610	YLR156C-A	YLR156C-A	0	0
chrXII	485710	485842	YLR159C-A	YLR159C-A	0	0
chrXII	482058	482190	YLR157C-C	YLR157C-C	0	0
chrXII	468826	468958	YLR154C-H	YLR154C-H	0	0
chrVIII	5662	5797	YHL048C-A	YHL048C-A	0	0
chrXV	27083	27218	YOL155W-A	YOL155W-A	0	0
chrIX	385563	385701	YIR018C-A	YIR018C-A	1.84790183	2.247007039
chrIV	22470	22608	YDL240C-A	YDL240C-A	0	0
chrXIV	499416	499557	YNL067W-B	YNL067W-B	0	0
chrXV	166460	166601	YOL083C-A	YOL083C-A	0	0
chrIX	167663	167804	YIL105W-A	YIL105W-A	0	0
chrII	449319	449463	YBR103C-A	YBR103C-A	0	0
chrXIII	769282	769426	YMR247W-A	YMR247W-A	0	0
chrIV	1185138	1185282	YDR354C-A	YDR354C-A	0	0
chrM	27665	27812	ATP8	Q0080	NA	NA
chrXV	639120	639267	YOR161C-C	YOR161C-C	0	1.054246453
chrIII	50795	50943	YCL042W	YCL042W	1.410376327	1.286239405
chrVII	384501	384651	YGL063C-A	YGL063C-A	1.699077521	1.033020014
chrXII	462521	462671	YLR154C-G	YLR154C-G	0	0
chrVIII	453557	453707	YHR175W-A	YHR175W-A	0	0
chrIV	794573	794723	YDR169C-A	YDR169C-A	5.097232564	0
chrXI	259072	259222	YKL096C-B	YKL096C-B	0	0
chrXIII	296470	296620	YMR013C-A	YMR013C-A	0	0
chrII	614023	614173	YBR196C-A	YBR196C-A	10.19446513	6.198120086
chrXI	145921	146074	YKL162C-A	YKL162C-A	9.993258579	3.037894384
chrXV	288419	288572	YOL019W-A	YOL019W-A	1.665543096	0
chrIV	848070	848223	YDR194W-A	YDR194W-A	0	0
chrXV	1045195	1045351	YOR376W-A	YOR376W-A	4.853772414	6.368031552
chrXV	584	740	YOL166W-A	YOL166W-A	0	0
chrVII	148823	148979	YGL188C-A	YGL188C-A	72.33215733	29.68456799
chrXIV	6560	6719	YNL338W	YNL338W	0	0.974177102
chrII	351292	351451	YBR056C-B	YBR056C-B	3.204589249	0
chrXIII	167622	167781	YML054C-A	YML054C-A	0	0
chrII	482325	482484	YBR121C-A	YBR121C-A	0	0
chrIII	289638	289797	YCR095W-A	YCR095W-A	9.613767747	5.845062613
chrII	307184	307344	SNR161	snR161	4349.649074	3324.671614
chrV	167426	167586	SNR14	snR14	11984.61962	8694.058866
chrVIII	280230	280392	YHR086W-A	YHR086W-A	0	0.956024734
chrXV	464468	464630	YOR072W-B	YOR072W-B	15.72438203	5.736148403
chrII	382859	383021	YBR072C-A	YBR072C-A	6.289752811	3.824098935
